Title,URL,Companies,Topic,Difficulty,Problem,Solution
Count Permutations of BST,https://www.interviewbit.com/problems/count-permutations-of-bst/,N/A,Dynamic Programming,medium,"You are given two positive integers A and B. For all permutations of [1, 2, …, A], we create a BST. Count how many of these have height B.

Notes:

Values of a permutation are sequentially inserted into the BST by general rules i.e in increasing order of indices.
Height of BST is maximum number of edges between root and a leaf.
Return answer modulo 109 + 7.
Expected time complexity is worst case O(N4).
1 ? N ? 50
For example,

A = 3, B = 1

Two permutations [2, 1, 3] and [2, 3, 1] generate a BST of height 1.
In both cases the BST formed is

    2
   / \
  1   3  


Another example,
A = 3, B = 2
Return 4.

Next question, can you do the problem in O(N3)?","class Solution:
	# @param A : integer
	# @param B : integer
	# @return an integer
	def cntPermBST(self, A, B):"
Find Permutation,https://www.interviewbit.com/problems/find-permutation/,Amazon,Arrays,medium,"Given a positive integer n and a string s consisting only of letters D or I, you have to find any permutation of first n positive integer that satisfy the given input string.

D means the next number is smaller, while I means the next number is greater.

Notes

Length of given string s will always equal to n - 1
Your solution should run in linear time and space.
Example :

Input 1:

n = 3

s = ID

Return: [1, 3, 2]","
vector<int> Solution::findPerm(const string A, int B) {
    
    vector<int> ans;
    int l=1,r=B;
    for(int i=0;i<A.length();i++)
    {
       if(A[i]=='I') {ans.push_back(l);l++;}
       else {ans.push_back(r);r--;} 
    }
    ans.push_back(r);
    
    return ans;
    
}"
Maximum Absolute Difference,https://www.interviewbit.com/problems/maximum-absolute-difference/,Amazon,Arrays,medium,"Problem Description
 
 

You are given an array of N integers, A1, A2 ,..., AN. Return maximum value of f(i, j) for all 1 ? i, j ? N. f(i, j) is defined as |A[i] - A[j]| + |i - j|, where |x| denotes absolute value of x.


Problem Constraints
1 <= |A| <= 105
-109 <= Ai <= 109


Input Format
The first argument is an integer array A.


Output Format
Return an integer equal to the maximum value of f(i, j)


Example Input
A = [1, 3, -1]


Example Output
5


Example Explanation
Given A = [1, 3, -1], 
f(1, 1) = f(2, 2) = f(3, 3) = 0
f(1, 2) = f(2, 1) = |1 - 3| + |1 - 2| = 3
f(1, 3) = f(3, 1) = |1 - (-1)| + |1 - 3| = 4
f(2, 3) = f(3, 2) = |3 - (-1)| + |2 - 3| = 5
The maximum value is 5, which is of f(2, 3)","int Solution::maxArr(vector<int> &A) {
    int ans = 0, n = A.size(); 
    
    int max1 = INT_MIN, max2 = INT_MIN;
    int min1 = INT_MAX, min2 = INT_MAX;
    
    for(int i = 0; i < n; i++){
        max1 = max(max1, A[i] + i);
        max2 = max(max2, A[i] - i);
        min1 = min(min1, A[i] + i);
        min2 = min(min2, A[i] - i);
    }   
    ans = max(ans, max2 - min2);
    ans = max(ans, max1 - min1);
    return ans;
}"
Matrix Median,https://www.interviewbit.com/problems/matrix-median/,Amazon,Binary Search,medium,"Problem Description
 
 

Given a matrix of integers A of size N x M in which each row is sorted.

Find and return the overall median of matrix A.

NOTE: No extra memory is allowed.

NOTE: Rows are numbered from top to bottom and columns are numbered from left to right.



Problem Constraints
1 <= N, M <= 10^5

1 <= N*M <= 10^6

1 <= A[i] <= 10^9

N*M is odd



Input Format
The first and only argument given is the integer matrix A.



Output Format
Return the overall median of matrix A.



Example Input
Input 1: 

A = [   [1, 3, 5],
        [2, 6, 9],
        [3, 6, 9]   ] 
Input 2: 

A = [   [5, 17, 100]    ]


Example Output
Output 1: 

 5 
Output 2: 

 17


Example Explanation
Explanation 1: 

A = [1, 2, 3, 3, 5, 6, 6, 9, 9]
Median is 5. So, we return 5. 
Explanation 2:

Median is 17.","int Solution::findMedian(vector<vector<int> > &A) {
    int l = 0, r = INT_MAX;
    int mid, req = (int)A.size() * (int)A[0].size();
    assert(A.size()*A[0].size()<=1000000);
    assert(req % 2);
    while(r - l > 1){
        mid = l + (r - l) / 2;
        int cnt = 0;
        for(auto &i: A){ 
            //using upper bound in a sorted array to count number of elements smaller than mid
            int p = upper_bound(i.begin(), i.end(), mid) - i.begin();
            cnt += p;
        }
        if(cnt >= (req/2 +1)) r = mid;
        else l = mid;
    }   
    return r;
}


// int Solution::findMedian(vector<vector<int> > &A) {

    
//         vector<int> v;
//         for(int i=0;i<A.size();i++)
//         {
//             for(int j=0;j<A[0].size();j++)
//             {
//                 v.push_back(A[i][j]);
//             }
//         }
        
//         sort(v.begin(), v.end());
//         return v[v.size()/2];
// }"
Largest Coprime Divisor,https://www.interviewbit.com/problems/largest-coprime-divisor/,N/A,Math,medium,"Problem Description
 
 

You are given two positive numbers A and B. You need to find the maximum valued integer X such that:

X divides A i.e. A % X = 0
X and B are co-prime i.e. gcd(X, B) = 1
For example,

A = 30
B = 12
We return
X = 5


Problem Constraints
1<=A,B<=1e9


Input Format
First argument is A.
Second argument is B.


Output Format
Find the maximum valued integer X which satisfies the above properties.","int Solution::cpFact(int A, int B) {
    int ans = 0;
    for( int i = 1; i <= A; i++ ) {
        if(  A%i == 0 && __gcd(i,B) == 1) ans = i;
    }
    return ans;
}"
Maximum Unsorted Subarray,https://www.interviewbit.com/problems/maximum-unsorted-subarray/,"Amazon, Microsoft",Arrays,medium,"Problem Description
 
 

Given an array A of non-negative integers of size N. Find the minimum sub-array Al, Al+1 ,..., Ar such that if we sort(in ascending order) that sub-array, then the whole array should get sorted.
If A is already sorted, output -1.



Problem Constraints
1 <= N <= 1000000

1 <= A[i] <= 1000000



Input Format
First and only argument is an array of non-negative integers of size N.



Output Format
Return an array of length two where the first element denotes the starting index(0-based) and the second element denotes the ending index(0-based) of the sub-array. If the array is already sorted, return an array containing only one element i.e. -1.



Example Input
Input 1:

A = [1, 3, 2, 4, 5]
Input 2:

A = [1, 2, 3, 4, 5]


Example Output
Output 1:

[1, 2]
Output 2:

[-1]


Example Explanation
Explanation 1:

If we sort the sub-array A1, A2, then the whole array A gets sorted.
Explanation 2:

A is already sorted.","vector<int> Solution::subUnsort(vector<int> &A){
	vector<int> ans;
	int n = A.size();
	int i = 0, j = n-1;
	while(i< n - 1 and A[i] <= A[i + 1]){
		i++;
	}
	while(j > 0 and A[j] >= A[j - 1]){
		j--;
	}
	if(i == n - 1){ // if array is already sorted, output -1
		ans.push_back(-1);
		return ans;
	}
	int mn = A[i + 1], mx = A[i + 1];
	for(int k = i; k <= j; k++){
		mx = max(mx, A[k]);
		mn = min(mn, A[k]);
	}
	int l = 0, r = n - 1;
	while(A[l] <= mn and l <= i){
	   	l++;
	}
	while(A[r] >= mx and r >= j){
		r--;
	}
	ans.push_back(l);
	ans.push_back(r);
	return ans;
}"
Counting Triangles,https://www.interviewbit.com/problems/counting-triangles/,N/A,Two Pointers,medium,"Problem Description
 
 

You are given an array of N non-negative integers, A0, A1,..., AN-1.
Considering each array element Ai as the edge length of some line segment, count the number of triangles that you can form using these array values.

Notes:
You can use any value only once while forming each triangle. The order of choosing the edge lengths doesn't matter. Any triangle formed should have a positive area.
Return answer modulo 109 + 7.


Problem Constraints
1 <= |A| <= 103
0 <= Ai <= 106


Input Format
The first argument is an integer array A.


Output Format
Return an integer equal to the count of the number of triangles that you can form.


Example Input
A = [1, 1, 1, 2, 2]


Example Output
4","int Solution::nTriang(vector<int> &A) {
        int n=A.size();
        if(n<3)return 0;
        // now n>=3
        sort(A.begin(),A.end());
        int ans=0;

        for(int en=(n-1);en>=2;--en){
            // for this c, i need to find pairs(a,b) whose sum greater than c
            for(int be=0,mid=(en-1);be<mid;){
                if(A.at(be)+A.at(mid) > A.at(en)){
                    ans+=(mid-be)%(1000000007); //cout<<ans<<endl;
                    --mid; 
                }
                else{
                    ++be;
                }
            }
        }
        return (ans%(1000000007));
}"
Queen Attack,https://www.interviewbit.com/problems/queen-attack/,N/A,Dynamic Programming,medium,"Problem Description
 
 

On an N * M chessboard, where rows are numbered from 1 to N and columns from 1 to M, there are queens at some cells. Return an N * M array A, where A[i][j] is the number of queens that can attack cell (i, j). While calculating the answer for cell (i, j), assume there is no queen at that cell.

Notes:
Queen is able to move any number of squares vertically, horizontally, or diagonally on a chessboard. A queen cannot jump over another queen to attack a position.
You are given an array of N strings, each of size M. Each character is either a 1 or 0 denoting if there is a queen at that position or not, respectively.
Expected time complexity in worst-case O(N*M).


Problem Constraints
1 <= N <= 500
1 <= M <= 500


Input Format
The first argument is an array of strings.


Output Format
Return an N * M array of integers.


Example Input
A = [""010"",
     ""100"",
     ""001""]


Example Output
[[3, 1, 2]
 [1, 3, 3]
 [2, 3, 0]]


Example Explanation
The chessboard is,
[0 1 0]
[1 0 0]
[0 0 1]


where a 1 denotes a queen at that position.



Cell (1, 1) is attacked by queens at (2, 1), (1,2) and (3,3).
Cell (1, 2) is attacked by queen at (2, 1). Note that while calculating this, we assume that there is no queen at (1, 2).
Cell (1, 3) is attacked by queens at (3, 3) and (1, 2).
and so on...



Finally, we return matrix
[3, 1, 2]
[1, 3, 3]
[2, 3, 0]

","//dp array
int dp[8][1009][1009];
//checks if cell (i, j) is valid or not
bool valid(int i, int j, int n, int m){
    if(i < 0 or i >= n or j < 0 or j >= m)return false;
    return true;
}

//direction vectors
int dir1[8] = {-1, -1, 0, 1, 1, 1, 0, -1};
int dir2[8] = {0, 1, 1, 1, 0, -1, -1, -1};

//returns dp(i, j, k) as 02222 in hint
int rec(int i, int j, int k, vector<string> & A, int n, int m){

    //memoisation
    int &ret = dp[k][i][j];
    if(ret != -1)return ret;
    
    ret=0;
    
    //new positions
    int ni = i + dir1[k];
    int nj = j + dir2[k];
    
    //if valid
    if(valid(ni, nj, n, m)){
        if(A[ni][nj] == '1') ret++;
        else ret += rec(ni, nj, k, A, n, m);
    }
    
    return ret;
}

vector<vector<int> > Solution::queenAttack(vector<string> &A) {
    //init dp array
    int n = A.size(), m = A[0].size();
    assert(n<=500 && m<=500);
    memset(dp,-1,sizeof(dp));

    vector< vector<int> > ret(n, vector<int>(m, 0));

    //calculate dp for all positions
    for(int k = 0; k < 8; k++)
        for(int i = 0; i < n; i++)
            for(int j = 0; j < m; j++){
                ret[i][j] += rec(i, j, k, A, n, m);
            }
    return ret;
}"
Magician and Chocolates,https://www.interviewbit.com/problems/magician-and-chocolates/,N/A,Heaps And Maps,medium,"Problem Description
 
 

Given N bags, each bag contains Bi chocolates. There is a kid and a magician. In one unit of time, kid chooses a random bag i, eats Bi chocolates, then the magician fills the ith bag with floor(Bi/2) chocolates.

Find the maximum number of chocolates that kid can eat in A units of time.

NOTE: 

floor() function returns the largest integer less than or equal to a given number.
Return your answer modulo 109+7


Problem Constraints
1 <= A <= 105
1 <= |B| <= 105
1 <= Bi <= INT_MAX


Input Format
First argument is an integer A.

Second argument is an integer array B of size N.



Output Format
Return an integer denoting the maximum number of chocolates that kid can eat in A units of time.



Example Input
Input 1:

 A = 3
 B = [6, 5]
Input 2:

 A = 5
 b = [2, 4, 6, 8, 10]


Example Output
Output 1:

 14
Output 2:

 33


Example Explanation
Explanation 1:

 At t = 1 kid eats 6 chocolates from bag 0, and the bag gets filled by 3 chocolates. 
 At t = 2 kid eats 5 chocolates from bag 1, and the bag gets filled by 2 chocolates. 
 At t = 3 kid eats 3 chocolates from bag 0, and the bag gets filled by 1 chocolate. 
 so, total number of chocolates eaten are 6 + 5 + 3 = 14","long long int mod = 1000000007;
int Solution::nchoc(int A, vector<int> &B) {
	int N = B.size();
	int K = A;
	long long int ans = 0;
	priority_queue<int> heap(B.begin(),B.end());
	while(K--){
		long long int max_elem = heap.top();
		ans += max_elem;
		ans = ans % mod;
		heap.pop();
		heap.push((int)(max_elem/2));
	}   
	return ans;
}"
Minimum Characters required to make a String Palindromic,https://www.interviewbit.com/problems/minimum-characters-required-to-make-a-string-palindromic/,"Amazon, Microsoft",Strings,medium,"Problem Description
 
 

Given a string A. The only operation allowed is to insert characters at the beginning of the string.
Find how many minimum characters are needed to be inserted to make the string a palindrome string.


Problem Constraints
1 <= |A| <= 106


Input Format
The only argument given is string A.


Output Format
Return the minimum characters that are needed to be inserted to make the string a palindrome string.


Example Input
Input 1:
A = ""ABC""
Input 2:
A = ""AACECAAAA""


Example Output
Output 1:
2
Output 2:
2


Example Explanation
Explanation 1:
Insert 'B' at beginning, string becomes: ""BABC"".
Insert 'C' at beginning, string becomes: ""CBABC"".
Explanation 2:
Insert 'A' at beginning, string becomes: ""AAACECAAAA"".
Insert 'A' at beginning, string becomes: ""AAAACECAAAA"".","vector<int> computeLPSArray(string str) {
    int M = str.length();
    vector<int> lps(M);
    int len = 0;
    lps[0] = 0;
    int i = 1;
    while (i < M) {
        if (str[i] == str[len]) {
            len++;
            lps[i] = len;
            i++;
        }
        else {
            if (len != 0) {
                len = lps[len-1];

            }
            else {
                lps[i] = 0;
                i++;
            }
        }
    }
    return lps;
}

int Solution::solve(string str) {
    assert(str.size() >= 1 && str.size() <= 1e6); 
    string revStr = str;
    reverse(revStr.begin(), revStr.end());
    string concat = str + ""$"" + revStr;
    vector<int> lps = computeLPSArray(concat);
    return (str.length() - lps.back());
}"
Longest Arithmetic Progression,https://www.interviewbit.com/problems/longest-arithmetic-progression/,Microsoft,Dynamic Programming,medium,"Problem Description
 
 

Find the longest Arithmetic Progression in an integer array A of size N, and return its length.

More formally, find longest sequence of indices, 0 < i1 < i2 < … < ik < ArraySize(0-indexed) such that sequence A[i1], A[i2], …, A[ik] is an Arithmetic Progression.

Arithmetic Progression is a sequence in which all the differences between consecutive pairs are the same, i.e sequence B[0], B[1], B[2], …, B[m - 1] of length m is an Arithmetic Progression if and only if B[1] - B[0] == B[2] - B[1] == B[3] - B[2] == … == B[m - 1] - B[m - 2]

Note: The common difference can be positive, negative, or 0.


Problem Constraints
1 <= N <= 1000
1 <= A[i] <= 1e9


Input Format
The first and only argument of input contains an integer array, A.


Output Format
Return an integer, representing the length of the longest possible arithmetic progression.


Example Input
Input 1:
 A = [3, 6, 9, 12]
Input 2:
 A = [9, 4, 7, 2, 10]


Example Output
Output 1:
4
Output 2:
3


Example Explanation
Explanation 1:
[3, 6, 9, 12] form an arithmetic progression.
Explanation 1:
[4, 7, 10] form an arithmetic progression.","//For searching some numbers in the prefix lets use some data structure.
// Lets store associative array [number, position].

int Solution::solve(const vector<int> &A) {

	int n = A.size();

	if (n < 3) return n;

	vector<vector<int> > dp(n, vector<int>(n, -1));

	map<int, int> pos;

	for (int i = 0; i < n; i++) {

		for (int j = i + 1; j < n; j++) {

			dp[i][j] = 2;

			int dif = A[j] - A[i];

			int need = 2 * A[i] - A[j];

			if (pos.count(need) == 0) continue;

			dp[i][j] = max(dp[i][j], dp[pos[need]][i] + 1);

		}
		pos[A[i]] = i;

	}

	int ans = 2;

	for (int i = 0; i < n; i++) {

		for (int j = i + 1; j < n; j++) {

			ans = max(ans, dp[i][j]);

		}

	}

	return ans;
}


//it’s O(n ^ 2 * log(n)) solution. 
//Also we can use unordered map(hash map) here,
// but its running time is undetermined
//(it's **O(1)** in average, but constant might be too big)."
Ways to form Max Heap,https://www.interviewbit.com/problems/ways-to-form-max-heap/,Directi,Heaps And Maps,medium,"Problem Description
 
 

Max Heap is a special kind of complete binary tree in which for every node the value present in that node is greater than the value present in it’s children nodes.

Find the number of distinct Max Heap can be made from A distinct integers.

In short, you have to ensure the following properties for the max heap :

Heap has to be a complete binary tree ( A complete binary tree is a binary tree in which every level, except possibly the last, is completely filled, and all nodes are as far left as possible.)
Every node is greater than all its children.
NOTE:  If you want to know more about Heaps, please visit this link. Return your answer modulo 109 + 7.



Problem Constraints
1 <= A <= 100



Input Format
First and only argument is an integer A.



Output Format
Return an integer denoting the number of distinct Max Heap.



Example Input
Input 1:

 A = 4
Input 2:

 A = 10


Example Output
Output 1:

 3
Output 2:

 3360


Example Explanation
Explanation 1:

 Let us take 1, 2, 3, 4 as our 4 distinct integers
 Following are the 3 possible max heaps from these 4 numbers :
      4           4                     4
    /  \         / \                   / \ 
   3    2   ,   2   3      and        3   1
  /            /                     /

 1            1                     2
Explanation 2:

 Number of distinct heaps possible with 10 distinct integers = 3360.","int Solution::solve(int A) {
}"
Sum of pairwise Hamming Distance,https://www.interviewbit.com/problems/sum-of-pairwise-hamming-distance/,Google,Math,medium,"Problem Description

Hamming distance between two non-negative integers is defined as the number of positions at which the corresponding bits are different.

Given an array A of N non-negative integers, find the sum of hamming distances of all pairs of integers in the array. Return the answer modulo 1000000007.



Problem Constraints
1 <= |A| <= 200000

1 <= A[i] <= 109



Input Format
First and only argument is array A.



Output Format
Return one integer, the answer to the problem.



Example Input
Input 1:

 A = [1]
Input 2:

 A = [2, 4, 6]


Example Output
Output 1:

 0
Output 2:

 8


Example Explanation
Explanation 1:

 No pairs are formed.
Explanation 2:

 We return, f(2, 2) + f(2, 4) + f(2, 6) + f(4, 2) + f(4, 4) + f(4, 6) + f(6, 2) + f(6, 4) + f(6, 6) = 8","int Solution::hammingDistance(const vector<int> &A) {
    int inputSize = A.size();
    int mod = 1000000007;
    int sum = 0;
    for (int bitPosition = 0; bitPosition < 31; bitPosition++) {
        int cntBitOne = 0, cntBitZero = 0;
        for(int i = 0; i < inputSize; i++) {
            if (A[i] & (1 << bitPosition)) cntBitOne++;
            else cntBitZero++;
        }
        sum = sum + ((2LL * cntBitOne * cntBitZero) % mod);
        if (sum >= mod) sum = sum - mod;
    }
    return sum;
}"
Sub Matrices with sum Zero,https://www.interviewbit.com/problems/sub-matrices-with-sum-zero/,Google,Dynamic Programming,medium,"Given a 2D matrix, find the number non-empty sub matrices, such that the sum of the elements inside the sub matrix is equal to 0. (note:  elements might be negative).

Example:

Input

-8 5  7
3  7 -8
5 -8  9
Output

2

Explanation

-8 5 7

3 7 -8

5 -8 9

-8 5 7

3 7 -8

5 -8 9","int Solution::solve(vector<vector<int> > &A) {
	int r = A.size();
	if(!r) return 0;
	int c = A[0].size();
	if(!c) return 0;

	vector<vector<int> > pre;

	pre.resize(r, vector<int>(c, 0));

	for(int i = 0; i < r; ++i) {
		for(int j = 0; j < c; ++j) {
			pre[i][j] = A[i][j];
			if(i) pre[i][j] += pre[i - 1][j];
			if(j) pre[i][j] += pre[i][j - 1];
			if(i && j) pre[i][j] -= pre[i - 1][j - 1];
		}
	}
	int ans = 0;
	for(int r1 = 0; r1 < r; ++r1) {
		for(int r2 = r1; r2 < r; ++r2) {
			unordered_map<int, int> count;
			count[0] = 1;
			for(int j = 0; j < c; ++j) {
				int val = pre[r2][j];
				if(r1) val -= pre[r1 - 1][j];
				ans += count[val];
				count[val]++;
			}
		}
	}

	return ans;
}"
N digit numbers with digit sum S,https://www.interviewbit.com/problems/n-digit-numbers-with-digit-sum-s-/,N/A,Dynamic Programming,medium,"Find out the number of N digit numbers, whose digits on being added equals to a given number S. Note that a valid number starts from digits 1-9 except the number 0 itself. i.e. leading zeroes are not allowed.

Since the answer can be large, output answer modulo 1000000007

N = 2, S = 4 
 Valid numbers are {22, 31, 13, 40} 
 Hence output 4.","int rec(vector<vector<int > > &dp, int id, int sum) {
    if(sum < 0) return 0;
    if(id == 0 && sum == 0) return 1;
    if(id == 0) return 0;

    if(dp[id][sum] != -1) return dp[id][sum];

    int ans = 0;
    for(int i = 0; i < 10; i++) {
        ans += rec(dp,id - 1, sum - i);
        ans %= 1000000007;
    }
    return dp[id][sum] = ans;
}

int Solution::solve(int A, int B) {
        int ans = 0;
        vector<vector<int> > dp;
        dp.resize(A+1);
        for(int i = 0; i <= A; i++) {
            dp[i].resize(B+1);
            for(int j=0;j<=B;j++)
                  dp[i][j] = -1;
       }
        for(int i = 1; i < 10; i++) {
            ans += rec(dp, A-1, B-i);
            ans %= 1000000007;
        }
    return ans;
}"
Largest Distance between nodes of a Tree,https://www.interviewbit.com/problems/largest-distance-between-nodes-of-a-tree/,"Facebbok, Google",Graph Data Structure & Algorithms,medium,"Problem Description

Given an arbitrary unweighted rooted tree which consists of N nodes.

The goal of the problem is to find largest distance between two nodes in a tree.

Distance between two nodes is a number of edges on a path between the nodes (there will be a unique path between any pair of nodes since it is a tree).

The nodes will be numbered 0 through N - 1.

The tree is given as an array A, there is an edge between nodes A[i] and i (0 <= i < N). Exactly one of the i's will have A[i] equal to -1, it will be root node.



Problem Constraints
1 <= N <= 40000



Input Format
First and only argument is an integer array A of size N.



Output Format
Return a single integer denoting the largest distance between two nodes in a tree.



Example Input
Input 1:

 A = [-1, 0, 0, 0, 3]


Example Output
Output 1:

 3


Example Explanation
Explanation 1:

 node 0 is the root and the whole tree looks like this: 
          0
       /  |  \
      1   2   3
               \
                4

 One of the longest path is 1 -> 0 -> 3 -> 4 and its length is 3, thus the answer is 3.","const int maxn=40009;
vector<int>adj[maxn];
pair<int,int> bfs(int s,int n)
{
    int dist[n];
    for(int i=0;i<n;i++)
        dist[i]=-1;
    dist[s]=0;
    int maxDist=0;
    int maxDistNode=s;
    queue<int>q;
    q.push(s);
    while(q.empty()==false)
    {
        int temp=q.front();
        q.pop();
        for(int v:adj[temp])
        {
            if(dist[v]==-1)
            {
                dist[v]=dist[temp]+1;
                q.push(v);
                if(dist[v]>maxDist)
                {
                    maxDist=dist[v];
                    maxDistNode=v;
                }
            }
        }
    }
    return {maxDistNode,maxDist};
}
int Solution::solve(vector<int> &A) {
    int root;
    int n=A.size();
    assert(n>=1 && n<=40000);
    int flag=0;
    for(int a:A)
    {
        if(a==-1)flag++;
        else assert(a>=0 && a<n);
    }
    assert(flag==1);
    for(int i=0;i<n;i++)
        adj[i].clear();
    for(int i=0;i<A.size();i++)
    {
        if(A[i]==-1)
        {
            root=i;
            continue;
        }
        else
        {
            adj[i].push_back(A[i]);
            adj[A[i]].push_back(i);
        }
    }
    pair<int,int> a = bfs(root,n);
    pair<int,int> b = bfs(a.first,n);
    return b.second;
}"
Length of Longest Subsequence,https://www.interviewbit.com/problems/length-of-longest-subsequence/,"Microsoft, Directi, Facebook",Dynamic Programming,medium,"Problem Description
 
 

Given a 1D integer array A of length N, find the length of the longest subsequence which is first increasing (strictly) and then decreasing (strictly).



Problem Constraints
0 <= N <= 3000

 -107 <= A[i] <= 107



Input Format
The first and the only argument contains an integer array A.



Output Format
Return an integer representing the answer as described in the problem statement.



Example Input
Input 1:

 A = [1, 2, 1]
Input 2:

 A = [1, 11, 2, 10, 4, 5, 2, 1]


Example Output
Output 1:

 3
Output 2:

 6


Example Explanation
Explanation 1:

 [1, 2, 1] is the longest subsequence.
Explanation 2:

 [1 2 10 4 2 1] is the longest subsequence.","int Solution::longestSubsequenceLength(const vector<int> &A) {
	int n = A.size();
	assert(n>=0 && n<=3000);
	for(int a:A)
	    assert(a>=-10000000 && a<=10000000);
	int inc[n];
	int dec[n];
	int ct = 0;

	inc[0] = 1;
	for(int i=1; i<n; i++)
	{
		inc[i] = 1;
		for(int j=i-1; j>=0; j--)
		{
			if(A[i] > A[j] && inc[i] < inc[j] + 1)
				inc[i] = inc[j] + 1;
		}
	}

	dec[n-1] = 1;
	for(int i=n-2; i>=0; i--)
	{
		dec[i] = 1;
		for(int j=i+1; j<n; j++)
		{
			if(A[i] > A[j] && dec[i] < dec[j] + 1)
				dec[i] = dec[j] + 1;
		}
	}

	int mx = 0;
	for(int i=0; i<n; i++)
		mx = max(mx, inc[i] + dec[i] - 1);

	return mx;
}"
Shortest common superstring,https://www.interviewbit.com/problems/shortest-common-superstring/,Google,Dynamic Programming,medium,"Problem Description
 
 

Given a set of strings, A of length N.

Return the length of the smallest string which has all the strings in the set as substrings.


Problem Constraints
1 <= N <= 18
1 <= A[i] <= 100


Input Format
The first and the only argument has an array of strings, A.


Output Format
Return an integer representing the minimum possible length of the resulting string.


Example Input
Input 1:
A = [""aaaa"", ""aa""]
Input 2:
    

A = [""abcd"", ""cdef"", ""fgh"", ""de""]


Example Output
Output 1:
4
Output 2:
    

8


Example Explanation
Explanation 1:
Shortest string: ""aaaa""
Explanation 2:

Shortest string: ""abcdefgh""","#define INF 1<<20
#define N 18

//Set the global variables
int targetMask;
int nonOverlapLen[N+2][N+2];
int dp[N][(1<<N) + 10];

// This can be done faster using KMP algorithm
//and some preprocessing
int combineString(vector<string> &words, int a, int b){
	/*
	Let's say s1 = words[a] and s1 = words[b].
	
	If we append string s2 to the solution, then as string s1 is already
	added, we would need to add only the characters of string words[b] that are
	not overlapping with the solution.
	lenToADD = len(s2)-len(suffix of s1 which is also a prefix of s2);
	
	e.g.: s1 = ""lara"", s2 = ""raghav""
	      Now in the previous step, we added s1 to solution and let's say our solution
	      at the time looks like ""brilara"" [made from strings ""brila"" and ""lara""],
	      if we add ""raghav"" to the solution, the only characters to be added are ""ghav""
	      and new solution = ""brilaraghav""
	*/
	
	//Only 1 string in the mask 
	if(a == -1){
		return words[b].size();
	}
  	
  	//Check if already calculated the ans
	if(nonOverlapLen[a][b] != -1){
		return nonOverlapLen[a][b];
	}
  	
  	//Calculate the answer if not already calculated
	for(int i=0; i<words[a].size(); ++i){
		bool suffix = true;
		for(int j=0; j<words[b].size()&& i+j<words[a].size() && suffix; ++j){
			if(words[a][i+j] != words[b][j]) suffix = false;
		}
		
		if(suffix){
			int overlap = words[a].size()-i;
			nonOverlapLen[a][b] = words[b].size() - overlap;
			return nonOverlapLen[a][b];
		}
	}
	
	nonOverlapLen[a][b] = words[b].size();
	return nonOverlapLen[a][b];
}

//Main function to find the optimal solution
int findOptimal(vector<string> &words, int last, int mask){
	//mask --> Set of strings that are considered for the solution.
	//last --> String that we added into the mask the last time
	//dp[i][mask] --> optimal answer for set of strings corresponding to mask(1's in mask) if the
	// last added string in mask is i-th string
	
	if(mask == targetMask){
		//We considered all strings into the solution
		dp[last+1][mask] = 0;
		return dp[last+1][mask];
	}
	
	//Check if we solved this sub problem before
 	if(dp[last + 1][mask] != -1){
 		return dp[last+1][mask];
 	}
	
	// Calculate the answer if not already calculated
	int ans = INF;
	
	for(int i=0; i<words.size(); ++i){
		//Check if i-th word is already considered or not
		if(!((mask>>i)&1)){
			ans = min(ans, findOptimal(words, i, mask|(1<<i)) + combineString(words, last, i));
		}
	}
    
    //Memoization step
    dp[last + 1][mask] = ans;
    
    return ans;
}

int Solution::solve(vector<string>& A){
	int n = A.size();
	
	// Check the strings which are completely overlapping with some other string
	for(int i=0; i<n; i++){
		for(int j=0; j<n; j++){
			if(i!=j && A[i].find(A[j]) != string::npos) A[j] = """";
		}
	}
	
	//Make a new vector of only the strings which are not completely overlapping
	//with some other string

 	vector<string> newA;
 	for(int i=0; i<n; i++){
 		if(A[i] != """") newA.push_back(A[i]);
 	}
  
  	//initialize the required arrays
	memset(nonOverlapLen, -1, sizeof(nonOverlapLen));
	memset(dp, -1, sizeof(dp));
	  
	//Set the mask initially to all 0's
    int mask = 0;
	
	//Set the target mask
    targetMask = (1<<newA.size())-1;
    
    //Find the length of optimal solution
    int ans = findOptimal(newA, -1, mask);
    
    return ans;
}"
Noble Integer,https://www.interviewbit.com/problems/noble-integer/,N/A,Arrays,easy,"Problem Description
 
 

Given an integer array A, find if an integer p exists in the array such that the number of integers greater than p in the array equals to p.



Problem Constraints
1 <= |A| <= 106
-109 <= Ai <= 109


Input Format
First and only argument is an integer array A.



Output Format
Return 1 if any such integer p is found else return -1.



Example Input
Input 1:

 A = [3, 2, 1, 3]
Input 2:

 A = [1, 1, 3, 3]


Example Output
Output 1:

 1
Output 2:

 -1


Example Explanation
Explanation 1:

 For integer 2, there are 2 greater elements in the array. So, return 1.
Explanation 2:

 There is no such integer exists.","int Solution::solve(vector<int> &A) {
	sort(A.begin(), A.end()) ;
	int size = A.size();
	for(int i=0;i<size;i++){
		while(i+1<size && A[i]==A[i+1])
			i++;
		if(A[i]==size-1-i)
			return 1;
	}
	return -1;
}"
